Year	Month	State	Sale_RES	Sale_COM	Sale_IND	Sale_OTH	Sale_ALL
1990	6	MN	1081.9	670.82	1902.52	54.92	3710.16
1990	6	MO	1741.33	1689.81	1144.54	76.71	4652.38
1990	6	MS	1053.51	631.31	1082.12	57.77	2824.7
1990	6	MT	210.31	213.95	560.86	37.47	1022.59
1990	6	NC	2348.66	2000.14	2770.05	139.94	7258.8
1990	6	ND	180.66	134.18	141.33	41.16	497.33
1990	6	NE	521.38	459.38	429.22	143.91	1553.88
1990	6	NH	246.88	159.26	279.74	8.64	694.53
1990	6	NJ	1573.96	2293.14	1301.33	32.71	5201.15
1990	6	NM	295.99	408.44	364.35	143.12	1211.9
1990	6	NV	559.96	340.03	534.48	70.48	1504.95
1990	6	NY	2765.58	3769.55	2702.92	951.32	10189.37
1990	6	OH	2866.41	2455.4	5844.65	369.37	11535.82
1990	6	OK	1627.45	1113.42	1026.06	194.18	3961.11
1990	6	OR	972.41	878.58	1254.65	73.31	3178.95
1990	6	PA	2595.66	2285.81	3903.38	113.26	8898.11
1990	6	RI	170.09	195.28	109.46	14.7	489.53
1990	6	SC	1425.39	1050.95	2140.33	66.57	4683.24
1990	6	SD	191.34	104.9	140.03	23.68	459.95
1990	6	TN	2124.09	1042.62	3056.43	76.1	6299.25
1990	6	TX	8268.5	5701.49	7367.59	765.27	22102.85
1990	6	UT	316.38	384.08	505.6	88.67	1294.74
1990	6	VA	2169.33	1775.6	1405.46	700.31	6050.71
1990	6	VT	123.23	116.38	110.98	3.11	353.7
1990	6	WA	1892.91	1336.25	3370.27	320.06	6919.5
1990	6	WI	1254.65	1081.2	1649.85	53.83	4039.53
1990	6	WV	516.66	408.32	886.65	6.98	1818.61
1990	6	WY	119.08	175.95	622.3	18.28	935.6
1990	7	AK	104.42	156.75	40.62	9.89	311.68
1990	7	AL	2374.21	1052.14	2322.7	52.09	5801.15
1990	7	AR	1265.13	655.94	907.8	61.86	2890.72
1990	7	AZ	1825.05	1378.06	902.37	242.99	4348.46
1990	7	CA	6178.98	7628.47	4725.07	823.87	19356.39
1990	7	CO	761.44	1230.85	579.47	140.67	2712.42
1990	7	CT	874.36	954.62	539.42	27.36	2395.75
1990	7	DC	147.18	496.19	303.94	27.65	974.96
1990	7	DE	250.48	212.66	270.42	4.09	737.65
1990	7	FL	7214.03	4702.83	1368.55	382.19	13667.6
1990	7	GA	3586.27	2273.89	2347.84	75.16	8283.17
1990	7	HI	193	188.16	331.98	5.02	718.16
1990	7	IA	1038.36	612.8	966.02	64	2681.19
1990	7	ID	386.19	663.63	721.3	111.75	1882.86
1990	7	IL	3233.24	2904.04	3413.29	642.63	10193.2
1990	7	IN	2164.26	1438.17	3043.5	50.12	6696.06
1990	7	KS	1206.44	929.31	725.23	53.64	2914.62
1990	7	KY	1752.85	912.11	2411.78	221.6	5298.35
1990	7	LA	2601.58	1382.72	2276.96	214.38	6475.64
1990	7	MA	1206.5	1613.98	852.48	89.33	3762.3
1990	7	MD	1854.05	987.23	1786.78	55.81	4683.87
1990	7	ME	281.46	226.22	386.44	13.66	907.78
1990	7	MI	2189.81	1847.29	3042.51	112.65	7192.27
1990	7	MN	1298.81	740.41	2055.52	67.86	4162.6
1990	7	MO	2302.75	1826.36	1186.31	77.75	5393.16
1990	7	MS	1397.56	685.57	1094.95	58.83	3236.92
1990	7	MT	224.78	228.3	590.13	52.28	1095.49
1990	7	NC	3292.85	2240.79	2603.14	159.22	8296.01
1990	7	ND	189.99	140.15	139.54	46.66	516.34
1990	7	NE	740.48	473.81	403.13	197.45	1814.86
1990	7	NH	253.11	171.43	284.35	8.48	717.37
1990	7	NJ	2275.93	2546.73	1261.42	34.54	6118.62
1990	7	NM	325.48	432.42	346.95	137.84	1242.69
1990	7	NV	648.51	409.32	594.98	75.6	1728.41
