Income,Year,Month,State
34288.6,1990,2,MS
12314.5,1990,2,MT
1.47,1990,2,NC
10224.9,1990,2,ND
29184.6,1990,2,NE
23048.3,1990,2,NH
191850.9,1990,2,NJ
23069.1,1990,2,NM
24821.0,1990,2,NV
432177.2,1990,2,NY
203214.9,1990,2,OH
50841.8,1990,2,OK
51780.3,1990,2,OR
232129.6,1990,2,PA
20482.8,1990,2,RI
56295.3,1990,2,SC
11430.9,1990,2,SD
81265.6,1990,2,TN
296204.4,1990,2,TX
25793.3,1990,2,UT
129185.8,1990,2,VA
10324.7,1990,2,VT
98476.0,1990,2,WA
90060.1,1990,2,WI
26097.0,1990,2,WV
8231.9,1990,2,WY
12776.9,1990,3,AK
64029.4,1990,3,AL
34283.2,1990,3,AR
63546.7,1990,3,AZ
640724.9,1990,3,CA
65348.5,1990,3,CO
86879.2,1990,3,CT
15743.5,1990,3,DC
14301.5,1990,3,DE
256748.4,1990,3,FL
115658.3,1990,3,GA
24725.6,1990,3,HI
48856.4,1990,3,IA
16277.2,1990,3,ID
239993.2,1990,3,IL
98215.6,1990,3,IN
45547.9,1990,3,KS
57308.7,1990,3,KY
64402.2,1990,3,LA
139277.4,1990,3,MA
110704.7,1990,3,MD
21905.7,1990,3,ME
176975.4,1990,3,MI
87584.8,1990,3,MN
91682.6,1990,3,MO
34288.6,1990,3,MS
12314.5,1990,3,MT
1.47,1990,3,NC
10224.9,1990,3,ND
29184.6,1990,3,NE
23048.3,1990,3,NH
191850.9,1990,3,NJ
23069.1,1990,3,NM
24821.0,1990,3,NV
432177.2,1990,3,NY
203214.9,1990,3,OH
50841.8,1990,3,OK
51780.3,1990,3,OR
232129.6,1990,3,PA
20482.8,1990,3,RI
56295.3,1990,3,SC
11430.9,1990,3,SD
81265.6,1990,3,TN
296204.4,1990,3,TX
25793.3,1990,3,UT
129185.8,1990,3,VA
10324.7,1990,3,VT
98476.0,1990,3,WA
90060.1,1990,3,WI
26097.0,1990,3,WV
8231.9,1990,3,WY
12962.3,1990,4,AK
64720.4,1990,4,AL
34800.1,1990,4,AR
64347.4,1990,4,AZ
647236.2,1990,4,CA
66318.8,1990,4,CO
87532.5,1990,4,CT
15935.7,1990,4,DC
14500.1,1990,4,DE
259768.4,1990,4,FL
117583.4,1990,4,GA
25239.8,1990,4,HI
49558.5,1990,4,IA
16473.8,1990,4,ID
242592.2,1990,4,IL
99851.4,1990,4,IN
46268.2,1990,4,KS
58101.2,1990,4,KY
65516.4,1990,4,LA
140333.0,1990,4,MA
111920.6,1990,4,MD
22032.4,1990,4,ME
179467.4,1990,4,MI
88455.7,1990,4,MN
92706.4,1990,4,MO
34709.5,1990,4,MS
12483.5,1990,4,MT
1.36,1990,4,NC
10330.1,1990,4,ND
29409.4,1990,4,NE
23145.0,1990,4,NH
194068.4,1990,4,NJ
23523.1,1990,4,NM
25441.4,1990,4,NV
436622.9,1990,4,NY
204789.3,1990,4,OH
51651.6,1990,4,OK
52413.2,1990,4,OR
235176.0,1990,4,PA
20518.1,1990,4,RI
56976.1,1990,4,SC
11595.0,1990,4,SD
82732.1,1990,4,TN
302141.6,1990,4,TX
26322.9,1990,4,UT
130551.2,1990,4,VA
10315.7,1990,4,VT
100082.7,1990,4,WA
91269.1,1990,4,WI
26416.4,1990,4,WV
8300.0,1990,4,WY
12962.3,1990,5,AK
64720.4,1990,5,AL
34800.1,1990,5,AR
64347.4,1990,5,AZ
647236.2,1990,5,CA
66318.8,1990,5,CO
87532.5,1990,5,CT
15935.7,1990,5,DC
14500.1,1990,5,DE
259768.4,1990,5,FL
117583.4,1990,5,GA
25239.8,1990,5,HI
49558.5,1990,5,IA
16473.8,1990,5,ID
242592.2,1990,5,IL
99851.4,1990,5,IN
46268.2,1990,5,KS
58101.2,1990,5,KY
65516.4,1990,5,LA
140333.0,1990,5,MA
111920.6,1990,5,MD
22032.4,1990,5,ME
179467.4,1990,5,MI
88455.7,1990,5,MN
92706.4,1990,5,MO
34709.5,1990,5,MS
12483.5,1990,5,MT
1.36,1990,5,NC
10330.1,1990,5,ND
29409.4,1990,5,NE
23145.0,1990,5,NH
194068.4,1990,5,NJ
23523.1,1990,5,NM
25441.4,1990,5,NV
436622.9,1990,5,NY
204789.3,1990,5,OH
51651.6,1990,5,OK
52413.2,1990,5,OR
235176.0,1990,5,PA
20518.1,1990,5,RI
56976.1,1990,5,SC
11595.0,1990,5,SD
82732.1,1990,5,TN
302141.6,1990,5,TX
26322.9,1990,5,UT
130551.2,1990,5,VA
10315.7,1990,5,VT
100082.7,1990,5,WA
91269.1,1990,5,WI
26416.4,1990,5,WV
8300.0,1990,5,WY
12962.3,1990,6,AK
64720.4,1990,6,AL
34800.1,1990,6,AR
64347.4,1990,6,AZ
647236.2,1990,6,CA
66318.8,1990,6,CO
87532.5,1990,6,CT
15935.7,1990,6,DC
14500.1,1990,6,DE
259768.4,1990,6,FL
117583.4,1990,6,GA
25239.8,1990,6,HI
49558.5,1990,6,IA
16473.8,1990,6,ID
242592.2,1990,6,IL
99851.4,1990,6,IN
46268.2,1990,6,KS
58101.2,1990,6,KY
65516.4,1990,6,LA
140333.0,1990,6,MA
111920.6,1990,6,MD
22032.4,1990,6,ME
179467.4,1990,6,MI
88455.7,1990,6,MN
92706.4,1990,6,MO
34709.5,1990,6,MS
12483.5,1990,6,MT
1.36,1990,6,NC
10330.1,1990,6,ND
29409.4,1990,6,NE
23145.0,1990,6,NH
194068.4,1990,6,NJ
23523.1,1990,6,NM
25441.4,1990,6,NV
436622.9,1990,6,NY
204789.3,1990,6,OH
51651.6,1990,6,OK
52413.2,1990,6,OR
235176.0,1990,6,PA
20518.1,1990,6,RI
56976.1,1990,6,SC
11595.0,1990,6,SD
82732.1,1990,6,TN
302141.6,1990,6,TX
26322.9,1990,6,UT
130551.2,1990,6,VA
10315.7,1990,6,VT
