Year,Month,State,RES,COM,IND,TRA,OTH,ALL
1990,3,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,4,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,5,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,6,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,7,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,8,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,9,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,10,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,11,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,12,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,1,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,2,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,3,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,4,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,5,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,6,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,7,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,8,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,9,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,10,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,11,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,12,MS,"998,320","144,114","5,841",,"15,789","1,164,064"
1990,1,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,2,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,3,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,4,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,5,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,6,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,7,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,8,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,9,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,10,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,11,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,12,MT,"342,822","56,633","3,215",,"10,174","412,844"
1990,1,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,2,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,3,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,4,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,5,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,6,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,7,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,8,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,9,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,10,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,11,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,12,NC,"2,801,451","388,208","14,687",,"28,086","3,232,432"
1990,1,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,2,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,3,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,4,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,5,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,6,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,7,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,8,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,9,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,10,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,11,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,12,ND,"262,529","45,370","2,430",,"5,038","315,367"
1990,1,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,2,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,3,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,4,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,5,NE,"649,256","104,898","5,458",,"39,855","799,467"
