Year	Month	State	Rev_RES	Rev_COM	Rev_IND	Rev_OTH	Rev_ALL
1991	7	NC	291.1	157	144.62	11.6	604.33
1991	7	ND	13.4	9.73	7.1	1.8	32.03
1991	7	NE	52.17	30.33	18	15.4	115.9
1991	7	NH	27.85	17.57	21.84	1.21	68.48
1991	7	NJ	276.12	246.04	104.21	6.59	632.96
1991	7	NM	28.94	35.84	18.65	7.63	91.06
1991	7	NV	34.63	24.9	32.95	3.66	96.14
1991	7	NY	438.2	515.13	192.11	83.76	1229.21
1991	7	OH	348.74	233.91	246.03	23.86	852.54
1991	7	OK	144.94	73.56	41.77	12.48	272.75
1991	7	OR	47.95	44.92	40.52	4.08	137.46
1991	7	PA	351.53	229.53	242.5	12.88	836.44
1991	7	RI	23.08	23.41	11.17	1.7	59.36
1991	7	SC	143.44	74.84	96.66	4.12	319.07
1991	7	SD	18.13	10.69	7.6	2.35	38.77
1991	7	TN	164.63	70.38	138.98	5.76	379.74
1991	7	TX	761.3	372.52	290.07	57.3	1481.19
1991	7	UT	25.77	26.72	20.39	3.94	76.82
1991	7	VA	234.7	123.38	57.38	41.05	456.51
1991	7	VT	10.2	9.16	6.96	0.36	26.67
1991	7	WA	76.05	55.45	74.48	9.17	215.15
1991	7	WI	104.46	71.92	68.27	3.97	248.62
1991	7	WV	41.72	25.26	30.31	0.64	97.94
1991	7	WY	7.62	9.86	21.84	1.15	40.46
1991	8	AK	11.53	14.72	3.08	1.48	30.82
1991	8	AL	174.52	78.78	106.18	3	362.48
1991	8	AR	112.65	48.68	56.56	4.79	222.68
1991	8	AZ	176.68	123.04	55.78	11.74	367.25
1991	8	CA	643.77	809.67	461.39	38.69	1953.53
1991	8	CO	47.85	57.54	23.19	7.68	136.26
1991	8	CT	93.69	89.69	39.35	4.07	226.81
1991	8	DC	14.71	41.05	19.67	1.76	77.2
1991	8	DE	26.8	17.19	14.05	0.48	58.52
1991	8	FL	599.53	326.49	74.18	27.32	1027.52
1991	8	GA	279.94	161.66	119.65	6.83	568.07
1991	8	HI	21.34	21	24.28	0.45	67.07
1991	8	IA	82.93	45.55	45.45	4.46	178.39
1991	8	ID	19.05	24.2	16.94	2.98	63.17
1991	8	IL	365.4	263.69	212.63	49.73	891.44
1991	8	IN	155.78	90.93	126.45	4.46	377.62
1991	8	KS	96.76	64.91	38.07	2.86	202.61
1991	8	KY	110.56	52.16	95.99	11.56	270.27
1991	8	LA	192.39	95.62	95.74	14.18	397.93
1991	8	MA	136.18	158.74	75.02	9.62	379.56
1991	8	MD	187.74	85.96	126.68	5.54	405.91
1991	8	ME	30	19.88	26.21	1.76	77.84
1991	8	MI	194.15	158.48	187.49	10.7	550.82
1991	8	MN	96.31	49.84	95.63	5.61	247.39
1991	8	MO	200.25	139.36	70.64	5.31	415.56
1991	8	MS	102.33	48.68	51.01	4.36	206.39
1991	8	MT	12.8	11.54	15.66	2.04	42.04
1991	8	NC	283.96	160.58	147.62	11.61	603.78
1991	8	ND	14.09	10.15	7.31	2.03	33.58
1991	8	NE	48.05	30.95	18.58	12.69	110.27
1991	8	NH	29.52	18.74	23.44	1.26	72.96
1991	8	NJ	272.72	246.76	107.6	6.58	633.66
1991	8	NM	27.78	35.28	19.16	7.08	89.3
1991	8	NV	36.42	25.25	33.38	4.23	99.27
1991	8	NY	464.07	514.03	190.08	81.72	1249.89
1991	8	OH	303.24	227.13	254.06	23.84	808.27
1991	8	OK	144.26	75.02	43.25	11.48	274
1991	8	OR	48.01	47.93	39.13	4.68	139.75
1991	8	PA	355.31	225.05	248.71	12.49	841.56
1991	8	RI	23.62	23.04	10.5	1.77	58.93
1991	8	SC	146.09	75.69	99.51	4.06	325.35
1991	8	SD	17.56	11.42	8	2.45	39.42
1991	8	TN	165.12	71.1	143.33	5.84	385.4
1991	8	TX	780.89	386.26	315.56	74.56	1557.28
1991	8	UT	26.96	25	21.9	3.77	77.64
1991	8	VA	214.52	121.83	60.32	38.7	435.37
1991	8	VT	11.31	9.79	7.47	0.37	28.94
1991	8	WA	71.14	57.71	72.02	9.1	209.96
1991	8	WI	103.76	72.75	72.16	3.93	252.6
1991	8	WV	40.52	24.84	31.38	0.65	97.38
1991	8	WY	7.52	10.23	21.64	0.97	40.36
1991	9	AK	12.19	14.66	3.01	1.63	31.5
1991	9	AL	138.05	72.64	106.97	2.88	320.54
1991	9	AR	98.61	46.69	52.83	3.92	202.05
1991	9	AZ	162.35	126.06	56.19	10.61	355.22
1991	9	CA	646.11	793.07	443.87	36.73	1919.78
1991	9	CO	54.06	69.19	26.56	6.05	155.85
1991	9	CT	87.78	86.81	40.7	4	219.3
1991	9	DC	12.22	40.08	19.83	1.79	73.92
1991	9	DE	24.22	17.3	14.06	0.47	56.05
1991	9	FL	590.4	323.06	71.42	28.3	1013.18
1991	9	GA	223.19	151.82	112.76	6.99	494.76
1991	9	HI	22.36	21.35	25.32	0.41	69.45
1991	9	IA	74.06	39.04	41.79	4.24	159.12
1991	9	ID	19.14	18.04	16.26	1	54.44
1991	9	IL	364.27	261.64	206.48	50.63	883.03
1991	9	IN	139.03	83.1	119.92	4.12	346.17
1991	9	KS	76.61	59.51	35.48	2.78	174.38
1991	9	KY	89.11	46.17	94.53	11.63	241.44
1991	9	LA	171.13	92.64	94.76	15.1	373.64
1991	9	MA	126.23	160.12	76.29	9.95	372.58
1991	9	MD	146.92	77.73	108.85	5.47	338.97
1991	9	ME	29.63	19.92	25.66	1.78	77
1991	9	MI	187.24	152.14	178.74	10.14	528.26
1991	9	MN	94.14	48.22	94.45	4.87	241.69
1991	9	MO	151.46	102.05	54.42	5.1	313.02
1991	9	MS	92.83	46.58	51.01	4.44	194.86
1991	9	MT	12.8	11.08	14.3	1.7	39.88
1991	9	NC	235.32	151.62	144.96	10.64	542.54
1991	9	ND	14.97	10.43	7.45	1.88	34.73
1991	9	NE	43.43	27.29	16.84	8.46	96.02
1991	9	NH	28.38	17.91	23.44	1.26	71
1991	9	NJ	204.1	224.22	101.22	6.62	536.17
1991	9	NM	27.08	33.56	17.92	7.03	85.6
1991	9	NV	30.71	22.97	32.14	3.63	89.45
1991	9	NY	440.55	503.16	185.89	81.1	1210.7
1991	9	OH	283.39	218.22	246.52	22.42	770.55
1991	9	OK	114.77	63.75	40.35	12.1	230.96
1991	9	OR	48.8	46.67	39.86	4.16	139.49
1991	9	PA	294.7	225.88	247.23	13.08	780.88
1991	9	RI	21.74	23	11.42	1.68	57.84
1991	9	SC	124.9	71.72	97.6	3.98	298.19
1991	9	SD	17.87	10.24	7.42	2.07	37.6
